repeat,od_idx,origin,dest,alpha,method,punctuality_prob,correct,objective_gap,tie_aware_correct,late_count,delay_sum,max_delay,path_length,mean_time,solve_time
1,9,510,438,0.7,MILP,0.98,True,0.0,True,10,4.3291766184457225,0.9776220653977967,45,2.7986672356282627,7.377000570297241
1,9,510,438,0.7,Dijkstra,0.98,True,0.0,True,10,4.3291766184457225,0.9776220653977967,45,2.7986672356282627,0.005680917999598023
1,9,510,438,0.9,ILP,0.994,True,0.0,True,3,0.8691865953330158,0.40134400156722627,50,2.812732278120015,10.848523616790771
1,9,510,438,0.9,MILP,0.994,False,0.0,True,3,0.5564798643209823,0.3258740217992653,45,2.7986672356282627,4.627390146255493
1,9,510,438,0.9,Dijkstra,0.994,False,0.0,True,3,0.5564798643209823,0.3258740217992653,45,2.7986672356282627,0.003138570999908552
2,0,145,507,0.5,ILP,0.906,True,0.0,True,47,54.35118385817333,6.013488817776626,115,10.43620846679432,120.2496383190155
2,0,145,507,0.5,MILP,0.906,True,0.0,True,47,54.35118385817333,6.013488817776626,115,10.43620846679432,19.10772943496704
2,0,145,507,0.5,Dijkstra,0.894,False,0.01200000000000001,False,53,73.78083658240848,5.99638465776972,109,10.283655437525535,0.003947741000047245
2,0,145,507,0.7,ILP,0.98,True,0.0,True,10,7.028457035310776,2.898891873991916,134,10.443029200621131,32.11507201194763
2,0,145,507,0.7,MILP,0.98,True,0.0,True,10,7.028457035310776,2.898891873991916,134,10.443029200621131,20.33914875984192
2,0,145,507,0.7,Dijkstra,0.974,False,0.006000000000000005,False,13,21.112407142929683,4.063790075108445,109,10.283655437525535,0.004605423000612063
2,0,145,507,0.9,ILP,0.998,True,0.0,True,1,1.3879416873200867,1.3879416873200867,140,10.955198764398814,5.368322372436523
2,0,145,507,0.9,MILP,0.998,False,0.0,True,1,0.9662972913306405,0.9662972913306405,134,10.443029200621131,9.129334688186646
2,0,145,507,0.9,Dijkstra,0.992,False,0.006000000000000005,False,4,2.934255509280181,2.131195492447169,109,10.283655437525535,0.0035052860002906527
