repeat,od_idx,origin,dest,alpha,method,punctuality_prob,correct,solve_time
0,19,26,21,0.6,Dijkstra,0.996,False,0.00030121899999357993
0,19,26,21,0.7,ILP,0.998,True,0.12265896797180176
0,19,26,21,0.7,MILP,0.998,False,0.09871292114257812
0,19,26,21,0.7,Dijkstra,0.996,False,0.00031131700006881147
0,19,26,21,0.8,ILP,0.998,True,0.10341095924377441
0,19,26,21,0.8,MILP,0.998,False,0.09126114845275879
0,19,26,21,0.8,Dijkstra,0.998,False,0.000274730000001
0,19,26,21,0.9,ILP,0.998,True,0.12253618240356445
0,19,26,21,0.9,MILP,0.998,False,0.09010028839111328
0,19,26,21,0.9,Dijkstra,0.998,False,0.0002981409998028539
1,0,34,63,0.5,ILP,0.968,True,1.0218262672424316
1,0,34,63,0.5,MILP,0.968,True,0.5834312438964844
1,0,34,63,0.5,Dijkstra,0.962,False,0.00031764400000611204
1,0,34,63,0.6,ILP,0.99,True,0.38004541397094727
1,0,34,63,0.6,MILP,0.99,False,0.2025141716003418
1,0,34,63,0.6,Dijkstra,0.984,False,0.0004093229999853065
1,0,34,63,0.7,ILP,0.998,True,0.1417374610900879
1,0,34,63,0.7,MILP,0.998,True,0.17537403106689453
1,0,34,63,0.7,Dijkstra,0.992,False,0.0002888270000767079
1,0,34,63,0.8,ILP,0.998,True,0.1634383201599121
1,0,34,63,0.8,MILP,0.998,False,0.15178942680358887
1,0,34,63,0.8,Dijkstra,0.998,False,0.00044484900035968167
1,0,34,63,0.9,ILP,0.998,True,0.12732148170471191
1,0,34,63,0.9,MILP,0.998,False,0.17029595375061035
1,0,34,63,0.9,Dijkstra,0.998,False,0.0002776119999907678
1,1,47,49,0.5,ILP,0.988,True,0.09252095222473145
1,1,47,49,0.5,MILP,0.988,True,0.09227180480957031
1,1,47,49,0.5,Dijkstra,0.988,True,0.00027327399993737345
1,1,47,49,0.6,ILP,0.994,True,0.08790993690490723
1,1,47,49,0.6,MILP,0.994,True,0.08919930458068848
1,1,47,49,0.6,Dijkstra,0.994,True,0.0002594279999357241
1,1,47,49,0.7,ILP,0.996,True,0.08198356628417969
1,1,47,49,0.7,MILP,0.996,True,0.08521008491516113
1,1,47,49,0.7,Dijkstra,0.996,True,0.00024357499978577835
1,1,47,49,0.8,ILP,0.998,True,0.08429312705993652
1,1,47,49,0.8,MILP,0.998,True,0.08279705047607422
1,1,47,49,0.8,Dijkstra,0.998,True,0.000255031000051531
1,1,47,49,0.9,ILP,0.998,True,0.08277678489685059
1,1,47,49,0.9,MILP,0.998,True,0.08909201622009277
1,1,47,49,0.9,Dijkstra,0.998,True,0.0002478699998391676
1,2,46,51,0.5,ILP,0.864,True,0.5375640392303467
