repeat,od_idx,origin,dest,alpha,method,punctuality_prob,correct,objective_gap,tie_aware_correct,tie_aware_correct_strict,late_count,delay_sum,max_delay,path_length,mean_time,status,reference_available,reference_status,deadline_mode,solve_time
0,4,50,35,0.7,ILP,0.996,True,0.0,True,True,2,131.62541232561685,72.54441778303953,3,59.59352801945239,Optimal,True,Optimal,heuristic,0.08985125900653657
0,4,50,35,0.7,MILP,0.996,True,0.0,True,,2,131.62541232561685,72.54441778303953,3,59.59352801945239,Optimal,True,Optimal,heuristic,0.08142560000123922
0,4,50,35,0.7,Dijkstra,0.996,True,0.0,True,,2,131.62541232561685,72.54441778303953,3,59.59352801945239,Optimal,True,Optimal,heuristic,0.00033609900128794834
0,4,50,35,0.8,ILP,0.996,True,0.0,True,True,2,83.26246713692379,48.362945188693004,3,59.59352801945239,Optimal,True,Optimal,heuristic,0.09061323599598836
0,4,50,35,0.8,MILP,0.996,True,0.0,True,,2,83.26246713692379,48.362945188693004,3,59.59352801945239,Optimal,True,Optimal,heuristic,0.08237489900056971
0,4,50,35,0.8,Dijkstra,0.996,True,0.0,True,,2,83.26246713692379,48.362945188693004,3,59.59352801945239,Optimal,True,Optimal,heuristic,0.0003725549977389164
0,4,50,35,0.9,ILP,0.996,True,0.0,True,True,2,34.899521948230785,24.181472594346502,3,59.59352801945239,Optimal,True,Optimal,heuristic,0.08785293999972055
0,4,50,35,0.9,MILP,0.996,True,0.0,True,,2,34.899521948230785,24.181472594346502,3,59.59352801945239,Optimal,True,Optimal,heuristic,0.08088079300068785
0,4,50,35,0.9,Dijkstra,0.996,True,0.0,True,,2,34.899521948230785,24.181472594346502,3,59.59352801945239,Optimal,True,Optimal,heuristic,0.00032976199872791767
0,5,62,50,0.5,ILP,0.862,True,0.0,True,True,69,3035.4554961678623,181.49412385036067,3,178.82053449736293,Optimal,True,Optimal,heuristic,0.10733095699833939
0,5,62,50,0.5,MILP,0.862,True,0.0,True,,69,3035.4554961678623,181.49412385036067,3,178.82053449736293,Optimal,True,Optimal,heuristic,0.09116392199939582
0,5,62,50,0.5,Dijkstra,0.862,True,0.0,True,,69,3035.4554961678623,181.49412385036067,3,178.82053449736293,Optimal,True,Optimal,heuristic,0.00040995200106408447
0,5,62,50,0.6,ILP,0.942,True,0.0,True,True,29,1282.7116281880817,145.19529908028852,3,178.82053449736293,Optimal,True,Optimal,heuristic,0.1023939770020661
0,5,62,50,0.6,MILP,0.942,True,0.0,True,,29,1282.7116281880817,145.19529908028852,3,178.82053449736293,Optimal,True,Optimal,heuristic,0.08797645299637225
0,5,62,50,0.6,Dijkstra,0.942,True,0.0,True,,29,1282.7116281880817,145.19529908028852,3,178.82053449736293,Optimal,True,Optimal,heuristic,0.0003421770015847869
0,5,62,50,0.7,ILP,0.974,True,0.0,True,True,13,639.7410194360755,108.89647431021638,3,178.82053449736293,Optimal,True,Optimal,heuristic,0.09924214399507036
0,5,62,50,0.7,MILP,0.974,True,0.0,True,,13,639.7410194360755,108.89647431021638,3,178.82053449736293,Optimal,True,Optimal,heuristic,0.08863635500165401
0,5,62,50,0.7,Dijkstra,0.974,True,0.0,True,,13,639.7410194360755,108.89647431021638,3,178.82053449736293,Optimal,True,Optimal,heuristic,0.00034165700344601646
0,5,62,50,0.8,ILP,0.984,True,0.0,True,True,8,288.027064710694,72.59764954014423,3,178.82053449736293,Optimal,True,Optimal,heuristic,0.10198096300155157
0,5,62,50,0.8,MILP,0.984,True,0.0,True,,8,288.027064710694,72.59764954014423,3,178.82053449736293,Optimal,True,Optimal,heuristic,0.08622808300424367
0,5,62,50,0.8,Dijkstra,0.984,True,0.0,True,,8,288.027064710694,72.59764954014423,3,178.82053449736293,Optimal,True,Optimal,heuristic,0.00033308799902442843
0,5,62,50,0.9,ILP,0.992,True,0.0,True,True,4,63.37220746847743,36.298824770072144,3,178.82053449736293,Optimal,True,Optimal,heuristic,0.09635366500151576
0,5,62,50,0.9,MILP,0.992,True,0.0,True,,4,63.37220746847743,36.298824770072144,3,178.82053449736293,Optimal,True,Optimal,heuristic,0.086711939999077
0,5,62,50,0.9,Dijkstra,0.992,True,0.0,True,,4,63.37220746847743,36.298824770072144,3,178.82053449736293,Optimal,True,Optimal,heuristic,0.0003597489994717762
0,6,32,44,0.5,ILP,0.892,True,0.0,True,True,54,3741.9307243399544,807.3968574711604,9,340.1290793071834,Optimal,True,Optimal,heuristic,0.23810088000027463
0,6,32,44,0.5,MILP,0.892,True,0.0,True,,54,3741.9307243399544,807.3968574711604,9,340.1290793071834,Optimal,True,Optimal,heuristic,0.08767930000612978
0,6,32,44,0.5,Dijkstra,0.892,True,0.0,True,,54,3741.9307243399544,807.3968574711604,9,340.1290793071834,Optimal,True,Optimal,heuristic,0.000362164995749481
0,6,32,44,0.6,ILP,0.96,True,0.0,True,True,20,2060.070365227086,758.2435795944701,9,340.1290793071834,Optimal,True,Optimal,heuristic,0.14674161999573698
0,6,32,44,0.6,MILP,0.918,False,0.041999999999999926,False,,41,2053.113174084304,196.6131115067609,10,382.4463462491417,Optimal,True,Optimal,heuristic,0.17270508799992967
0,6,32,44,0.6,Dijkstra,0.96,True,0.0,True,,20,2060.070365227086,758.2435795944701,9,340.1290793071834,Optimal,True,Optimal,heuristic,0.0005179069994483143
0,6,32,44,0.7,ILP,0.982,True,0.0,True,True,9,1411.769827705932,709.09030171778,9,340.1290793071834,Optimal,True,Optimal,heuristic,0.12588480900012655
0,6,32,44,0.7,MILP,0.978,False,0.0040000000000000036,False,,11,849.5299628235125,147.45983363007076,10,382.4463462491417,Optimal,True,Optimal,heuristic,0.08538111799862236
0,6,32,44,0.7,Dijkstra,0.982,True,0.0,True,,9,1411.769827705932,709.09030171778,9,340.1290793071834,Optimal,True,Optimal,heuristic,0.00040574799641035497
0,6,32,44,0.8,ILP,0.988,True,0.0,True,True,6,996.8580325823029,659.9370238410897,9,340.1290793071834,Optimal,True,Optimal,heuristic,0.11490558800142026
0,6,32,44,0.8,MILP,0.988,False,0.0,True,,6,492.0946499931781,98.30655575338051,10,382.4463462491417,Optimal,True,Optimal,heuristic,0.08548641499510268
0,6,32,44,0.8,Dijkstra,0.988,True,0.0,True,,6,996.8580325823029,659.9370238410897,9,340.1290793071834,Optimal,True,Optimal,heuristic,0.00041283300379291177
0,6,32,44,0.9,ILP,0.99,True,0.0,True,True,5,222.05501551700888,49.153277876690254,10,382.4463462491417,Optimal,True,Optimal,heuristic,0.12333411299914587
0,6,32,44,0.9,MILP,0.99,True,0.0,True,,5,222.05501551700888,49.153277876690254,10,382.4463462491417,Optimal,True,Optimal,heuristic,0.08561467599793104
0,6,32,44,0.9,Dijkstra,0.99,False,0.0,True,,5,742.1859377004506,610.7837459643995,9,340.1290793071834,Optimal,True,Optimal,heuristic,0.00042315800237702206
